date,close,open,high,low,volume
2013-09-25,17.197483,17.471411,17.487125,17.193915,316956984.956985
2013-09-26,17.364983,17.357126,17.448554,17.282126,237220969.220969
2013-09-27,17.241054,17.27784,17.309626,17.168554,228039144.039144
2013-09-30,17.026769,17.044626,17.202126,16.943233,260157892.157892
2013-10-01,17.427125,17.087483,17.469268,17.085019,353882973.882974
2013-10-02,17.484268,17.343911,17.564268,17.276768,289183897.183897
2013-10-03,17.264626,17.518197,17.583911,17.169222,322754334.754335
2013-10-04,17.251054,17.280697,17.307126,17.09284,258869778.869779
2013-10-07,17.419625,17.377125,17.594625,17.333911,312292740.29274
2013-10-08,17.176411,17.49784,17.52284,17.162126,290916314.916315
2013-10-09,17.378125,17.308554,17.421054,17.081411,301725165.725166
2013-10-10,17.487054,17.547125,17.584982,17.394268,278602238.602239
2013-10-11,17.600411,17.392483,17.637125,17.327126,267740019.74002
2013-10-14,17.715697,17.493911,17.770697,17.476768,261898429.89843
2013-10-15,17.809982,17.768018,17.928554,17.697125,320074732.074732
2013-10-16,17.896911,17.885339,17.947482,17.829625,251100303.100303
2013-10-17,18.017839,17.856411,18.027839,17.845696,253593593.593594
2013-10-18,18.174625,18.071053,18.187839,18.061053,290542570.542571
2013-10-21,18.620053,18.277482,18.724981,18.268553,398108178.108178
2013-10-22,18.566678,18.80016,18.873181,18.14391,534063546.063546
2013-10-23,18.748553,18.535696,18.77391,18.535696,313724801.724802
2013-10-24,18.996767,18.749981,19.016767,18.65891,384764764.764765
2013-10-25,18.784196,18.975517,19.04391,18.75391,337792869.79287
2013-10-28,18.924124,18.894267,18.964267,18.686053,550441042.441042
2013-10-29,18.452767,19.152481,19.258909,18.37641,635809095.809096
2013-10-30,18.746267,18.557481,18.839981,18.464982,354163142.163142
2013-10-31,18.66791,18.749981,18.83891,18.616767,275695415.695416
2013-11-01,18.572481,18.714981,18.742838,18.422839,274889490.889491
2013-11-04,18.812481,18.610696,18.814981,18.52891,244628376.628377
2013-11-05,18.766017,18.734981,18.888731,18.678553,265472549.472549
2013-11-06,18.604267,18.719624,18.744981,18.507124,223376831.376831
2013-11-07,18.303267,18.55641,18.685338,18.299267,262620662.620663
2013-11-08,18.59141,18.377839,18.611767,18.306767,279318451.318451
2013-11-11,18.53741,18.571053,18.631053,18.371767,227453439.453439
2013-11-12,18.571767,18.488196,18.71141,18.464267,204458808.458808
2013-11-13,18.594053,18.499982,18.651767,18.462839,197219905.219905
2013-11-14,18.862838,18.671767,18.902838,18.638196,282420630.42063
2013-11-15,18.74966,18.80641,18.896053,18.731767,317919373.919374
2013-11-18,18.522446,18.749624,18.828195,18.507124,244945140.945141
2013-11-19,18.555339,18.536767,18.692124,18.49891,208939036.939037
